horizon,baseline_mw_2021,endpoint_schedule_mw_2023,delta_mw,delta_pct,cross_out_n,cross_in_n,cross_out_baseline_mw,cross_in_baseline_mw
2023,1969.7035536600356,46.745,-1922.9585536600357,-97.62680024041487,37,0,1922.9585536600357,0
2024,4884.0897385480275,2142.779135224045,-2741.3106033239824,-56.12735944812791,15,1,2861.310603323983,120.0
2025,11963.807813557007,10584.428869428948,-1379.3789441280587,-11.52959798104572,9,2,2119.3789441280587,740.0
2026,13303.449469634552,13438.449469634552,135.0,1.0147744034969337,2,1,105.0,240.0
2027,15805.449469634552,16388.449469634554,583.0000000000018,3.6886012075775643,2,1,467.0,1050.0
2028,25157.953514578374,25740.953514578374,583.0,2.3173586025674417,2,1,467.0,1050.0
2029,26600.927194738444,27183.927194738444,583.0,2.1916529289825473,2,1,467.0,1050.0
2030,37179.92719473845,37179.92719473845,0.0,0.0,0,0,0,0
