from_release,to_release,cohort,n,changed,changed_pct,later,same,earlier,later_share_changed,median_changed_months,q1,q3
2024,2025,primary,7031,2112,30.03840136538188,1979,4919,133,93.70265151515152,24.0,11.0,39.0
2024,2025,strict_qdate_state,6852,2050,29.918272037361355,1920,4802,130,93.65853658536585,24.0,11.0,39.0
2025,2026,primary,6285,1698,27.01670644391408,1543,4587,155,90.8716136631331,13.0,7.0,27.0
2025,2026,strict_qdate_state,5979,1669,27.91436695099515,1518,4310,151,90.95266626722588,14,7,28
2024,2026,primary,4551,2340,51.41727092946605,2209,2211,131,94.4017094017094,29.0,15.0,46.0
2024,2026,strict_qdate_state,4174,2279,54.59990416866315,2152,1895,127,94.42738043001316,29,15.0,46.0
