horizon,baseline_mw_2021,endpoint_schedule_mw_2023,delta_mw,delta_pct,cross_out_n,cross_in_n,cross_out_baseline_mw,cross_in_baseline_mw
2023,3300.314227817339,139.35567415730338,-3160.9585536600357,-95.77750285161586,56,1,3170.9585536600357,10.0
2024,6367.0037834918485,2675.693180167865,-3691.3106033239833,-57.97563074950086,27,1,3811.310603323983,120.0
2025,15384.325265201354,11570.1335869909,-3814.1916782104545,-24.792713443455224,22,2,4554.191678210456,740.0
2026,17330.72901660495,17101.72901660495,-229.0,-1.3213523780828267,5,3,515.0,286.0
2027,20517.72901660495,20361.72901660495,-156.0,-0.760318063825434,5,2,1242.0,1086.0
2028,30142.23306154877,30389.23306154877,247.0,0.8194482455750365,4,2,839.0,1086.0
2029,31585.206741708844,31932.206741708844,347.0,1.0986155729092637,3,2,739.0,1086.0
2030,42223.70674170884,42223.70674170884,0.0,0.0,0,0,0,0
