source,filename,size_bytes,sha256,role
2021,IEA_Hydrogen_Projects_Database_2021_quality_checked.xlsx,524866,b97eff98e9737709c58d1679e20ae32a1b5599d76185288b804986394bed0a62,quality-checked IEA Hydrogen workbook
2022,IEA_Hydrogen_Projects_Database_2022_quality_checked.xlsx,702992,f4eab620f46d751c92a5e0995580a68a700348dbc6509442b43154d7af464a3a,quality-checked IEA Hydrogen workbook
2023,IEA_Hydrogen_Projects_Database_2023_quality_checked.xlsx,975026,bb9d3aba38738a5c5864c145469b658c4f274a3b6e2697f52fc7a5dccec71345,quality-checked IEA Hydrogen workbook
2023_outcome,IEA_Hydrogen_Projects_Database_2023_only2023_outcome.xlsx,473279,a04d204162e9db78e5c53074f26278ca7d3862e1e28debf812a7273a2c5ff480,manually validated 2023 outcome workbook
uploaded_archive,f72a09a9-464b-429d-a3d7-2b19dfa0cab2.zip,19920692,63d282a4645f530d38305eef941f7c74d89245f05a9ee4814c648a152a52e8f1,Odenweller-Ueckerdt reproducibility archive v1.1.1
